"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2_2\inst_100_50_100_50_75_25_45_01_2_2_ColGen_9.cmpl"
"gap","6,2; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0"
"low","59680,00000; 61600; 61600; 61206; 61566; 61566; 61566; 61398; 61398; 61398; 61206; 61206"
"mem","889,3; 250,6; 258,9; 432,6; 267,3; 333,3; 294,5; 358,7; 307,9; 314,0; 350,7; 393,8"
"time","398,1; 46,3; 57,3; 160,7; 82,1; 224,4; 110,5; 277,8; 129,3; 107,7; 148,8; 177,1"
"sol","63644; 61600; 61600; 61206; 61566; 61566; 61566; 61398; 61398; 61398; 61206; 61206"
