"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_01_\inst_50_01_6\inst_50_50_100_50_75_25_45_01_6 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_01_\inst_50_01_6\inst_50_50_100_50_75_25_45_01_6 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_01_\inst_50_01_6\inst_50_50_100_50_75_25_45_01_6.cmpl"
"gap","0,0; 0,0; 0,0"
"low","14420; 18080; 14734"
"mem","91,6; 105,6; 89,9"
"time","9,5; 44,2; 8,5"
"sol","14420; 18080; 14734"
