"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2_ColGen_25.cmpl"
"gap","2,1; 2,8; 3,1; 2,3"
"low","51078,00000; 53801,00000; 53029,00000; 52113,00000"
"mem","700,6; 416,7; 446,4; 514,7"
"time","423,2; 349,9; 360,1; 375,8"
"sol","52167; 55338; 54709; 53334"
