"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_2\inst_50_50_100_50_75_25_45_05_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_2\inst_50_50_100_50_75_25_45_05_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_2\inst_50_50_100_50_75_25_45_05_2.cmpl"
"gap","0,0; 0,0; 0,0"
"low","12941; 18124; 15140"
"mem","91,5; 90,2; 88,6"
"time","5,7; 3,9; 5,3"
"sol","12941; 18124; 15140"
