"Name","Value"
"low","502,00000000; 836,00000000; 852,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_09_\inst_10_09_3\inst_10_50_100_50_75_25_45_09_3 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_09_\inst_10_09_3\inst_10_50_100_50_75_25_45_09_3 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_09_\inst_10_09_3\inst_10_50_100_50_75_25_45_09_3.cmpl"
"time","0,07; 0,07; 0,04"
"sol","502,00000000; 836,00000000; 852,00000000"
