"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_ColGen_25.cmpl"
"gap","3,1; 5,3; 4,4; 4,4"
"low","50917,00000; 53403,00000; 52720,00000; 51388,00000"
"mem","725,7; 447,4; 492,4; 618,5"
"time","423,7; 366,0; 377,9; 411,9"
"sol","52563; 56363; 55137; 53732"
