"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2_ColGen_25.cmpl"
"gap","2,1; 3,5; 2,6; 2,0"
"low","51078,00000; 53762,00000; 53738,00000; 52096,00000"
"mem","700,6; 385,4; 447,9; 535,8"
"time","425,9; 347,8; 358,0; 380,1"
"sol","52167; 55689; 55148; 53166"
