"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12\inst_100_50_100_50_75_25_45_01_12.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12\inst_100_50_100_50_75_25_45_01_12_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12\inst_100_50_100_50_75_25_45_01_12_3.cmpl"
"gap","0,0; 0,0; 0,0"
"low","61061; 60716; 64400"
"mem","770,0; 770,0; 770,0"
"time","111,4; 132,8; 115,4"
"sol","61061; 60716; 64400"
