"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_3.cmpl"
"gap","0,0; 0,0; 0,0"
"low","61061; 60716; 64400"
"mem","770,0; 770,0; 770,0"
"time","114,6; 105,8; 114,6"
"sol","61061; 60716; 64400"
