"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst1_10_50_100_50_75_25_45_09_\inst_10_09_2\inst_10_50_100_50_75_25_45_09_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst1_10_50_100_50_75_25_45_09_\inst_10_09_2\inst_10_50_100_50_75_25_45_09_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst1_10_50_100_50_75_25_45_09_\inst_10_09_2\inst_10_50_100_50_75_25_45_09_2.cmpl"
"gap","0,0; 0,0; 0,0"
"low","887; 522; 852"
"mem","0,9; 0,9; 0,9"
"time","0,0; 0,0; 0,0"
"sol","887; 522; 852"
