"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_ColGen_20.cmpl"
"gap","3,1; 3,1"
"low","50917,00000; 53268,00000"
"mem","725,7; 469,7"
"time","419,6; 369,9"
"sol","52563; 54951"
