"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3_ColGen_20.cmpl"
"gap","1,6; 1,5"
"low","54802,00000; 56956,00000"
"mem","722,9; 545,3"
"time","419,4; 368,9"
"sol","55678; 57797"
