"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_3.cmpl"
"gap","0,0; 0,0; 0,0"
"low","50369,8; 54318,8; 50136,4"
"mem","770,0; 770,0; 770,0"
"time","132,5; 131,8; 129,6"
"sol","50369,8; 54318,8; 50136,4"
