"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25_3.cmpl"
"gap","0,0; 0,0; 0,0"
"low","50369,8; 54318,8; 50136,4"
"mem","770,0; 770,0; 770,0"
"time","153,6; 131,9; 133,5"
"sol","50369,8; 54318,8; 50136,4"
