"Name","Value"
"low","680,00000000; 721,00000000; 1014,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_01_\inst_10_01_3\inst_10_50_100_50_75_25_45_01_3 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_01_\inst_10_01_3\inst_10_50_100_50_75_25_45_01_3 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_01_\inst_10_01_3\inst_10_50_100_50_75_25_45_01_3.cmpl"
"time","0,07; 0,07; 0,10"
"sol","680,00000000; 721,00000000; 1014,00000000"
