"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_01_\inst_10_01_2\inst_10_50_100_50_75_25_45_01_2 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_01_\inst_10_01_2\inst_10_50_100_50_75_25_45_01_2 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_01_\inst_10_01_2\inst_10_50_100_50_75_25_45_01_2.cmpl"
"gap";"0,0, 0,0, 0,0"
"low";"680, 744, 1033"
"mem";"0,8, 0,8, 0,8"
"time";"0,0, 0,0, 0,0"
"sol";"680, 744, 1033"
