"Name","Value"
"low","12934,00000000; 14007,00000000; 14535,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_09_\inst_50_09_4\inst_50_50_100_50_75_25_45_09_4 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_09_\inst_50_09_4\inst_50_50_100_50_75_25_45_09_4 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_09_\inst_50_09_4\inst_50_50_100_50_75_25_45_09_4.cmpl"
"time","25,06; 28,16; 28,67"
"sol","12934,00000000; 14007,00000000; 14535,00000000"
