"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_09_\inst_50_09_4\inst_50_50_100_50_75_25_45_09_4 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_09_\inst_50_09_4\inst_50_50_100_50_75_25_45_09_4 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_09_\inst_50_09_4\inst_50_50_100_50_75_25_45_09_4.cmpl"
"gap","0,0; 0,0; 0,0"
"low","12934; 14007; 14535"
"mem","92,2; 124,9; 94,3"
"time","3,9; 38,9; 6,4"
"sol","12934; 14007; 14535"
