"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_09_\inst_50_09_2\inst_50_50_100_50_75_25_45_09_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_09_\inst_50_09_2\inst_50_50_100_50_75_25_45_09_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_09_\inst_50_09_2\inst_50_50_100_50_75_25_45_09_2.cmpl"
"gap","0,0; 0,0; 0,0"
"low","13292; 15022; 15439"
"mem","92,2; 96,1; 90,8"
"time","4,1; 4,7; 3,6"
"sol","13292; 15022; 15439"
