"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_9.cmpl"
"gap","0,8; 2,3; 1,8; 2,5; 1,5; 1,5; 2,1; 2,9; 2,5; 2,2; 1,8; 1,5"
"low","50189,00000; 51783,00000; 51710,00000; 51227,00000; 51722,00000; 51742,00000; 51696,00000; 51362,00000; 51362,00000; 51349,00000; 51346,00000; 51218,00000"
"mem","741,2; 379,4; 428,7; 464,5; 417,7; 388,4; 419,2; 394,0; 405,3; 450,1; 439,0; 461,2"
"time","430,6; 337,1; 339,7; 356,1; 341,4; 343,6; 344,5; 346,5; 348,7; 350,5; 351,9; 354,0"
"sol","50584; 53026; 52657; 52564; 52506; 52532; 52817; 52898; 52673; 52503; 52281; 52004"
