"Name","Value"
"low","14420,00000000; 18074,00000000; 14734,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_01_\inst_50_01_13\inst_50_50_100_50_75_25_45_01_13 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_01_\inst_50_01_13\inst_50_50_100_50_75_25_45_01_13 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_01_\inst_50_01_13\inst_50_50_100_50_75_25_45_01_13.cmpl"
"time","27,37; 37,87; 29,23"
"sol","14420,00000000; 18074,00000000; 14734,00000000"
