"Name","Value"
"low","16457,00000000; 20871,00000000; 17459,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_01_\inst_50_01_2\inst_50_50_100_50_75_25_45_01_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_01_\inst_50_01_2\inst_50_50_100_50_75_25_45_01_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_01_\inst_50_01_2\inst_50_50_100_50_75_25_45_01_2.cmpl"
"time","29,70; 32,23; 39,94"
"sol","16457,00000000; 20871,00000000; 17459,00000000"
