"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_3.cmpl"
"gap","0,0; 0,0; 0,0"
"low","49092; 1789,2; 50136,4"
"mem","770,0; 770,0; 770,0"
"time","131,6; 84,1; 128,7"
"sol","49092; 1789,2; 50136,4"
