"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_ColGen_20.cmpl"
"gap","0,5; 1,0"
"low","45418,00000; 46579,00000"
"mem","859,4; 493,3"
"time","431,3; 359,6"
"sol","45635; 47032"
