"Name","Value"
"low","13292,00000000; 15022,00000000; 15439,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_09_\inst_50_09_2\inst_50_50_100_50_75_25_45_09_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_09_\inst_50_09_2\inst_50_50_100_50_75_25_45_09_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_09_\inst_50_09_2\inst_50_50_100_50_75_25_45_09_2.cmpl"
"time","29,67; 31,19; 26,67"
"sol","13292,00000000; 15022,00000000; 15439,00000000"
