"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_20.cmpl"
"gap","0,8; 1,6"
"low","50189,00000; 50469,00000"
"mem","741,2; 531,8"
"time","432,0; 379,6"
"sol","50584; 51307"
