"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25\inst_100_50_100_50_75_25_45_05_25 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25\inst_100_50_100_50_75_25_45_05_25 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25\inst_100_50_100_50_75_25_45_05_25.cmpl"
"gap","0,0; 0,7; 0,8"
"low","43172; 50127,00000; 52248,00000"
"mem","1153,5; 1034,9; 1007,2"
"time","491,6; 564,2; 544,5"
"sol","43172; 50492; 52695"
