"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2.cmpl"
"gap","0,0; 0,0; 0,0"
"low","46370; 53464; 56257"
"mem","1102,8; 1128,8; 1007,1"
"time","246,0; 286,2; 241,5"
"sol","46370; 53464; 56257"
