"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_12\inst_100_50_100_50_75_25_45_05_12 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_12\inst_100_50_100_50_75_25_45_05_12.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_05_\inst_100_05_12\inst_100_50_100_50_75_25_45_05_122.cmpl"
"gap","0,7; 0,8; 0,0"
"low","50127,00000; 52248,00000; 43172"
"mem","1034,9; 1007,2; 1153,5"
"time","555,7; 537,2; 502,7"
"sol","50492; 52695; 43172"
