"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7.cmpl"
"gap","2,2; 1,5; 3,9"
"low","51070,00000; 54796,00000; 50897,00000"
"mem","981,0; 1003,3; 915,7"
"time","507,1; 507,5; 504,3"
"sol","52226; 55622; 52976"
