"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25.cmpl"
"gap","2,0; 1,2; 5,0"
"low","51068,00000; 54795,00000; 50896,00000"
"mem","984,6; 1016,5; 915,8"
"time","539,3; 508,7; 505,9"
"sol","52118; 55460; 53568"
