"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGap0\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_9.cmpl"
"gap","4,1; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0"
"low","48839,00000; 51423; 51423; 49854; 51187; 51187; 50445; 50202; 50017; 50017; 50017; 50014"
"mem","883,9; 314,2; 337,4; 448,1; 383,1; 372,4; 388,9; 404,9; 410,8; 382,0; 443,4; 438,2"
"time","425,4; 75,2; 121,5; 154,0; 116,0; 97,6; 81,3; 110,5; 160,4; 94,0; 129,9; 166,7"
"sol","50915; 51423; 51423; 49854; 51187; 51187; 50445; 50202; 50017; 50017; 50017; 50014"
