"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_13\inst_50_50_100_50_75_25_45_01_13 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_13\inst_50_50_100_50_75_25_45_01_13 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_13\inst_50_50_100_50_75_25_45_01_13.cmpl"
"gap";"0,0, 0,0, 0,0"
"low";"14420, 18074, 14734"
"mem";"94,0, 104,4, 89,9"
"time";"8,0, 30,3, 5,9"
"sol";"14420, 18074, 14734"
