"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_6\inst_50_50_100_50_75_25_45_01_6 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_6\inst_50_50_100_50_75_25_45_01_6 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_6\inst_50_50_100_50_75_25_45_01_6.cmpl"
"gap";"0,0, 0,0, 0,0"
"low";"14420, 18080, 14734"
"mem";"91,6, 105,6, 89,9"
"time";"8,9, 49,6, 8,0"
"sol";"14420, 18080, 14734"
