"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_4\inst_50_50_100_50_75_25_45_01_4 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_4\inst_50_50_100_50_75_25_45_01_4 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_01_\inst_50_01_4\inst_50_50_100_50_75_25_45_01_4.cmpl"
"gap";"0,0, 0,0, 0,0"
"low";"14536, 14536, 14784"
"mem";"88,7, 88,7, 87,3"
"time";"7,6, 60,0, 7,1"
"sol";"14536, 14536, 14784"
