"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3_ColGen_25.cmpl"
"gap","1,6; 2,2; 2,6; 1,7"
"low","54802,00000; 57735,00000; 57178,00000; 55841,00000"
"mem","722,9; 486,4; 539,1; 594,2"
"time","425,5; 365,4; 380,5; 394,6"
"sol","55678; 59018; 58696; 56785"
