"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewGLPK_Mil\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewGLPK_Mil\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewGLPK_Mil\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25_3.cmpl"
"gap","0,5; 0,0; 0,0"
"low","45416,00000; 50484; 46979"
"mem","833,0; 849,6; 781,9"
"time","434,4; 268,8; 200,4"
"sol","45635; 50484; 46979"
