"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_09_\inst_50_09_6\inst_50_50_100_50_75_25_45_09_6 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_09_\inst_50_09_6\inst_50_50_100_50_75_25_45_09_6 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_09_\inst_50_09_6\inst_50_50_100_50_75_25_45_09_6.cmpl"
"gap";"0,0, 0,0, 0,0"
"low";"12934, 13995, 14515"
"mem";"92,2, 100,0, 94,1"
"time";"4,5, 14,8, 6,7"
"sol";"12934, 13995, 14515"
