"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_2\inst_100_50_100_50_75_25_45_01_7_2_ColGen_20.cmpl"
"gap","2,1; 2,8"
"low","51078,00000; 53029,00000"
"mem","700,6; 446,1"
"time","418,9; 355,7"
"sol","52167; 54573"
