"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_09_\inst_10_09_3\inst_10_50_100_50_75_25_45_09_3 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_09_\inst_10_09_3\inst_10_50_100_50_75_25_45_09_3 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_09_\inst_10_09_3\inst_10_50_100_50_75_25_45_09_3.cmpl"
"gap";"0,0, 0,0, 0,0"
"low";"502, 836, 852"
"mem";"0,9, 0,9, 0,9"
"time";"0,0, 0,0, 0,0"
"sol";"502, 836, 852"
