"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_05_\inst_100_05_25_3\inst_100_50_100_50_75_25_45_05_25_3_ColGen_9.cmpl"
"gap","0,5; 2,3; 1,6; 1,0; 1,2; 2,0; 1,4; 1,2; 1,2; 1,2; 0,9; 1,1"
"low","50202,00000; 51787,00000; 51516,00000; 50647,00000; 51561,00000; 51430,00000; 51140,00000; 51045,00000; 50951,00000; 50959,00000; 50896,00000; 50804,00000"
"mem","739,7; 393,0; 342,2; 495,9; 411,7; 406,7; 425,6; 413,4; 436,8; 425,2; 502,2; 463,3"
"time","420,1; 333,0; 334,8; 353,8; 335,9; 336,9; 340,1; 340,7; 343,1; 368,0; 353,5; 354,5"
"sol","50475; 53026; 52376; 51182; 52163; 52492; 51851; 51675; 51581; 51594; 51375; 51370"
