"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12_ColGen_9.cmpl"
"gap","0,5; 1,0; 1,9; 1,6; 1,0; 2,2; 1,8; 1,5; 1,0; 1,0; 1,6; 0,8"
"low","45416,00000; 47574,00000; 47324,00000; 46588,00000; 47182,00000; 47096,00000; 47024,00000; 46936,00000; 46966,00000; 46928,00000; 46851,00000; 46819,00000"
"mem","822,2; 329,0; 344,1; 503,4; 332,9; 356,1; 395,0; 403,3; 372,2; 428,2; 445,0; 452,1"
"time","435,5; 338,4; 337,3; 360,3; 348,5; 356,4; 349,4; 347,1; 355,3; 356,6; 354,7; 366,0"
"sol","45635; 48047; 48225; 47357; 47678; 48180; 47873; 47659; 47420; 47414; 47623; 47206"
