"Name","Value"
"low","12188,00000000; 16873,00000000; 13571,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_6\inst_50_50_100_50_75_25_45_05_6 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_6\inst_50_50_100_50_75_25_45_05_6 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_6\inst_50_50_100_50_75_25_45_05_6.cmpl"
"time","23,43; 28,82; 28,98"
"sol","12188,00000000; 16873,00000000; 13571,00000000"
