"Name","Value"
"low","12197,00000000; 16902,00000000; 13620,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4.cmpl"
"time","31,20; 28,92; 29,23"
"sol","12197,00000000; 16902,00000000; 13620,00000000"
