"Name","Value"
"low","680,00000000; 744,00000000; 1033,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_01_\inst_10_01_2\inst_10_50_100_50_75_25_45_01_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_01_\inst_10_01_2\inst_10_50_100_50_75_25_45_01_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_01_\inst_10_01_2\inst_10_50_100_50_75_25_45_01_2.cmpl"
"time","0,08; 0,08; 0,09"
"sol","680,00000000; 744,00000000; 1033,00000000"
