"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2.cmpl"
"gap","0,0; 0,0; 3,0"
"low","53317; 48219; 48828,00000"
"mem","1067,1; 1067,7; 1190,1"
"time","213,4; 251,1; 514,7"
"sol","53317; 48219; 50334"
