"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen\inst2_50_50_100_50_75_25_45_01_\inst_50_01_4\inst_50_50_100_50_75_25_45_01_4_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen\inst2_50_50_100_50_75_25_45_01_\inst_50_01_4\inst_50_50_100_50_75_25_45_01_4_3_ColGen.cmpl"
"gap","0,9; 0,0"
"low","18081,00000; 19666"
"mem","276,0; 51,0"
"time","304,8; 18,7"
"sol","18237; 19666"
