"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenBoth\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_9.cmpl"
"gap","0,9; 0,8; 0,5; 1,0; 0,1; 0,2; 1,4; 1,5; 0,5; 1,0; 0,4; 1,2"
"low","52252,00000; 54644,00000; 54682,00000; 53868,00000; 54687,00000; 54583,00000; 54259,00000; 54329,00000; 54179,00000; 54160,00000; 53940,00000; 53912,00000"
"mem","704,3; 333,3; 422,1; 439,3; 492,7; 401,9; 409,5; 408,9; 394,6; 424,3; 448,3; 404,2"
"time","415,6; 330,4; 332,2; 348,2; 333,7; 335,2; 337,1; 338,7; 340,4; 342,0; 344,6; 346,6"
"sol","52700; 55100; 54963; 54405; 54757; 54694; 55005; 55175; 54468; 54692; 54136; 54578"
