instance,gap_mean_GLPK,gap_std_GLPK,low_mean_GLPK,low_std_GLPK,mem_mean_GLPK,mem_std_GLPK,sol_mean_GLPK,sol_std_GLPK,time_mean_GLPK,time_std_GLPK,low_mean_CBC,low_std_CBC,sol_mean_CBC,sol_std_CBC,time_mean_CBC,time_std_CBC
inst_100_01_12,2.333333333333333,1.3572848714334886,52281.33333333334,1822.5469968029786,709.8333333333335,25.347496041138964,53530.0,1323.2628864540359,405.9333333333333,1.461354014452196,,,,,,
inst_100_01_2,2.6666666666666665,2.6042699979499484,61228.0,2550.9360373530867,848.6,72.16402612567192,62904.0,1941.6144485109976,342.9666666666667,77.86742294153284,,,,,,
inst_100_01_25,2.333333333333333,1.3572848714334886,52281.33333333334,1822.5469968029786,709.8333333333335,25.347496041138964,53529.33333333334,1323.4793370338487,405.16666666666674,0.7586537784493997,,,,,,
inst_100_01_7,2.1666666666666665,0.7363574011458174,52272.66666666666,1790.8614934966047,716.4,11.230612924799187,53421.33333333334,1502.6031486131735,404.1333333333334,0.3681787005729221,,,,,,
inst_100_05_12,0.4666666666666666,0.3681787005729087,48542.0,3888.2986853721336,760.1,55.786019754056646,48782.33333333334,4069.769553945557,383.7,43.98234494279117,,,,,,
inst_100_05_2,0.0,0.0,54272.66666666666,6806.697943121091,803.4,34.5519898124551,54272.66666666666,6806.697943121091,132.4,40.06253445136324,,,,,,
inst_100_05_25,0.4666666666666666,0.3681787005729087,48542.0,3888.2986853721336,760.1,55.786019754056646,48782.33333333334,4069.769553945557,383.56666666666666,44.39101510691349,,,,,,
inst_100_05_7,0.5666666666666668,0.4027681991198191,48538.33333333334,3886.7364487732148,760.6,55.60737361177921,48818.66666666666,4085.176237188414,383.2666666666667,43.981688108676416,,,,,,
inst_100_09_12,0.16666666666666666,0.23570226039551584,47627.33333333334,2117.9877766932987,830.3000000000002,34.45702637585935,47699.33333333334,2044.074416997146,274.6666666666667,103.10190212708116,,,,,,
inst_100_09_2,0.7666666666666666,1.0842303978193728,50135.33333333334,2265.421569794216,808.6,62.07753216744365,50513.33333333334,2112.1815473317843,218.46666666666667,130.73090257811614,,,,,,
inst_100_09_25,0.16666666666666666,0.23570226039551584,47627.33333333334,2117.9877766932987,830.3000000000002,34.45702637585935,47699.33333333334,2044.074416997146,273.4666666666667,102.89095630272318,,,,,,
inst_100_09_7,0.16666666666666666,0.23570226039551584,47627.33333333334,2117.9877766932987,830.3000000000002,34.45702637585935,47699.33333333334,2044.074416997146,274.93333333333334,102.5777537069103,,,,,,



inst_10_01_2,0.0,0.0,819.0,153.5599774246749,0.8000000000000002,1.1102230246251563e-16,819.0,153.5599774246749,0.0,0.0,819.0,153.5599774246749,819.0,153.5599774246749,0.08333333333333333,0.004714045207910314
inst_10_01_3,0.0,0.0,805.0,148.7301807524844,0.8000000000000002,1.1102230246251563e-16,805.0,148.7301807524844,0.0,0.0,805.0,148.7301807524844,805.0,148.7301807524844,0.08,0.01414213562373095
inst_10_05_2,0.0,0.0,828.3333333333335,129.90338290009578,0.8333333333333334,0.04714045207910316,828.3333333333335,129.90338290009578,0.0,0.0,828.3333333333335,129.90338290009578,828.3333333333335,129.90338290009578,0.07,0.024494897427831785
inst_10_05_3,0.0,0.0,810.0,116.37869220780924,0.8666666666666667,0.04714045207910316,810.0,116.37869220780924,0.0,0.0,810.0,116.37869220780924,810.0,116.37869220780924,0.07666666666666667,0.01699673171197595
inst_10_09_2,0.0,0.0,753.6666666666665,164.4350597922745,0.9,0.0,753.6666666666665,164.4350597922745,0.0,0.0,753.6666666666665,164.4350597922745,753.6666666666665,164.4350597922745,0.08333333333333333,0.030912061651652344
