"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_ColGen_9.cmpl"
"gap","4,1; 2,5; 3,1; 2,6; 2,0; 2,5; 3,0; 2,9; 1,9; 3,1; 3,7; 2,4"
"low","50910,00000; 55409,00000; 55208,00000; 54306,00000; 54886,00000; 54642,00000; 54535,00000; 54496,00000; 54461,00000; 54426,00000; 54390,00000; 54423,00000"
"mem","684,6; 356,5; 345,1; 441,8; 387,1; 374,7; 384,9; 401,5; 422,5; 407,9; 425,5; 433,3"
"time","412,9; 335,6; 337,8; 356,2; 338,8; 341,1; 343,8; 346,1; 347,7; 349,0; 352,4; 354,6"
"sol","53099; 56856; 56997; 55774; 55986; 56067; 56220; 56114; 55516; 56194; 56497; 55739"
