"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenGapSi\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12_2\inst_100_50_100_50_75_25_45_01_12_2_ColGen_9.cmpl"
"gap","2,1; 0,9; 1,7; 1,5; 0,9; 1,3; 1,1; 1,4; 1,1; 1,8; 1,4; 1,8"
"low","51077,00000; 55264,00000; 55227,00000; 54176,00000; 55049,00000; 55193,00000; 55205,00000; 55194,00000; 54880,00000; 54925,00000; 54725,00000; 54249,00000"
"mem","700,4; 261,4; 297,8; 400,0; 280,3; 303,1; 300,0; 321,1; 317,0; 323,5; 339,3; 388,9"
"time","413,6; 321,5; 322,4; 335,6; 323,7; 325,6; 326,5; 327,7; 329,4; 331,1; 332,6; 334,3"
"sol","52167; 55738; 56175; 55024; 55533; 55937; 55799; 55988; 55466; 55958; 55479; 55234"
