"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4.cmpl"
"gap";"0,0, 0,0, 0,4"
"low";"12197, 16902, 13625"
"mem";"90,3, 97,8, 97,8"
"time";"5,2, 10,2, 60,1"
"sol";"12197, 16902, 13625"
