"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2.cmpl"
"gap","0,0; 0,0; 2,3"
"low","53317; 48219; 48870,00000"
"mem","750,7; 780,4; 894,7"
"time","107,4; 146,0; 402,0"
"sol","53317; 48219; 50004"
