"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7_3\inst_100_50_100_50_75_25_45_01_7_3_ColGen_25.cmpl"
"gap","1,6; 1,3; 2,5; 1,1"
"low","54802,00000; 56807,00000; 55632,00000; 55327,00000"
"mem","722,9; 469,0; 538,1; 637,5"
"time","418,0; 365,7; 376,8; 390,4"
"sol","55678; 57577; 57039; 55923"
