"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7_ColGen_25.cmpl"
"gap","3,1; 4,4; 1,9; 5,5"
"low","50911,00000; 52720,00000; 52527,00000; 51388,00000"
"mem","701,7; 492,4; 552,9; 618,5"
"time","422,9; 378,1; 397,1; 408,0"
"sol","52563; 55137; 53531; 54363"
