"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2_ColGen_25.cmpl"
"gap","1,9; 0,0; 0,0; 2,1"
"low","59121,00000; 60577; 59983; 59586,00000"
"mem","848,4; 586,7; 776,1; 721,1"
"time","421,8; 365,5; 348,8; 386,0"
"sol","60257; 60577; 59983; 60834"
