"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_05\inst_10_05_2\inst_10_50_100_50_75_25_45_05_2 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_05\inst_10_05_2\inst_10_50_100_50_75_25_45_05_2 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst1_10_50_100_50_75_25_45_05\inst_10_05_2\inst_10_50_100_50_75_25_45_05_2.cmpl"
"gap";"0,0, 0,0, 0,0"
"low";"733, 1012, 740"
"mem";"0,8, 0,8, 0,9"
"time";"0,0, 0,0, 0,0"
"sol";"733, 1012, 740"
