"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12.cmpl"
"gap","0,0; 0,0; 0,5"
"low","50484; 46979; 45419,00000"
"mem","849,6; 781,9; 859,4"
"time","236,2; 172,1; 415,7"
"sol","50484; 46979; 45635"
