"Name","Value"
"low","887,00000000; 522,00000000; 852,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_09_\inst_10_09_2\inst_10_50_100_50_75_25_45_09_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_09_\inst_10_09_2\inst_10_50_100_50_75_25_45_09_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_09_\inst_10_09_2\inst_10_50_100_50_75_25_45_09_2.cmpl"
"time","0,11; 0,10; 0,04"
"sol","887,00000000; 522,00000000; 852,00000000"
