"Name";"Value"
"instance";"D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2 (2).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2 (3).cmpl, D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2.cmpl"
"gap";"0,0, 3,6, 3,6"
"low";"14515, 66756, 66756"
"mem";"94,1, 94,1, 94,1"
"time";"60,8, 60,8, 60,7"
"sol";"14515, 66756, 66756"
