"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NEWVALID\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2.cmpl"
"gap","7,8; 0,0; 2,0"
"low","59540,00000; 64824; 59067,00000"
"mem","1071,0; 1057,4; 1206,1"
"time","504,2; 418,0; 491,6"
"sol","64576; 64824; 60257"
