"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_ColGen_25.cmpl"
"gap","0,5; 1,2; 1,9; 0,9"
"low","45416,00000; 46083,00000; 45932,00000; 45840,00000"
"mem","822,2; 538,1; 589,0; 636,2"
"time","437,6; 374,8; 387,5; 403,0"
"sol","45635; 46664; 46842; 46261"
