"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewGLPK_0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewGLPK_0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewGLPK_0\inst3_100_50_100_50_75_25_45_01_\inst_100_01_25\inst_100_50_100_50_75_25_45_01_25_3.cmpl"
"gap","4,5; 2,1; 1,8"
"low","50867,00000; 51069,00000; 54810,00000"
"mem","684,6; 684,6; 685,0"
"time","445,1; 441,8; 443,3"
"sol","53283; 52167; 55842"
