"Name","Value"
"low","733,00000000; 1012,00000000; 740,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_05\inst_10_05_2\inst_10_50_100_50_75_25_45_05_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_05\inst_10_05_2\inst_10_50_100_50_75_25_45_05_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst1_10_50_100_50_75_25_45_05\inst_10_05_2\inst_10_50_100_50_75_25_45_05_2.cmpl"
"time","0,07; 0,04; 0,10"
"sol","733,00000000; 1012,00000000; 740,00000000"
